,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Abdsolute acceleration (m/s^2),Target
114,0.0034,0.0026,0.0133,0.0534,Cavi
115,0.0055,0.005,0.0146,0.0381,Cavi
116,0.0104,0.0062,0.0167,0.011,Cavi
117,0.0042,0.003,0.0103,0.0221,Cavi
118,0.0024,0.0016,0.0087,0.0177,Cavi
119,0.0055,0.0067,0.0384,0.0235,Cavi
120,0.0108,0.0191,0.1753,0.1349,50Cavi
121,0.0155,0.0146,0.0704,0.1294,50Cavi
122,0.0146,0.0115,0.0436,0.1132,50Cavi
123,0.0241,0.0199,0.1452,0.1151,50Cavi
124,0.025,0.0204,0.0906,0.0748,50Cavi
125,0.0233,0.0102,0.061,0.075,50Cavi
126,0.0188,0.0136,0.0391,0.0971,50Cavi
127,0.0546,0.0642,0.1493,0.0817,50Cavi
128,0.0032,0.0048,0.0022,0.0143,50Cavi
129,0.0025,0.0039,0.0018,0.0119,50Cavi
130,0.0031,0.0051,0.0023,0.0119,50Cavi
131,0.003,0.0059,0.0022,0.0073,50Cavi
132,0.0022,0.0074,0.0032,0.0054,50Cavi
133,0.0037,0.0046,0.0039,0.0077,50Cavi
134,0.0022,0.005,0.0028,0.0087,50Cavi
135,0.0025,0.0039,0.0028,0.0068,50Cavi
136,0.0024,0.0043,0.0016,0.0079,50Cavi
137,0.0035,0.005,0.0026,0.006,50Cavi
138,0.0021,0.0049,0.0022,0.0072,50Cavi
139,0.0028,0.0056,0.0029,0.0069,50Cavi
140,0.0037,0.0051,0.0024,0.0127,50Cavi
141,0.0039,0.0049,0.0029,0.0114,50Cavi
142,0.0042,0.0046,0.0032,0.0048,50Cavi
143,0.0047,0.0035,0.0024,0.0061,50Cavi
144,0.0053,0.004,0.0023,0.0105,50Cavi
145,0.0043,0.0047,0.0017,0.0062,50Cavi
146,0.0049,0.0042,0.0025,0.0102,50Cavi
147,0.0029,0.005,0.0018,0.009,50Cavi
